Target,Accessions,Compounds
Protein phosphatase 1 regulatory subunit 12A,O14974,1
von Hippel-Lindau disease tumor suppressor/Cyclin-G-associated kinase,O14976|P40337,1
Protein cereblon/Cyclin-G-associated kinase,O14976|Q96SW2,1
Heterogeneous nuclear ribonucleoprotein D-like,O14979,1
von Hippel-Lindau disease tumor suppressor/Serine/threonine-protein kinase DCLK1,O15075|P40337,1
FYN-binding protein 1,O15117,1
Secretory carrier-associated membrane protein 2,O15127,1
Axin-1/Low-density lipoprotein receptor-related protein 2,O15169|P98164,1
Membrane-associated progesterone receptor component 2,O15173,1
Prefoldin subunit 6,O15212,1
High mobility group protein B3,O15347,1
von Hippel-Lindau disease tumor suppressor/Histone deacetylase 3/Lysine-specific histone demethylase 1A/REST corepressor 1,O15379|O60341|P40337|Q9UKL0,1
von Hippel-Lindau disease tumor suppressor/Transmembrane protease serine 2,O15393|P40337,1
High affinity copper uptake protein 1,O15431,1
Protein SLC31A2,O15432,1
DNA-directed RNA polymerase I subunit RPA34,O15446,1
Toll-like receptor 3/8/9,O15455|Q9NR96|Q9NR97,1
Regulator of G-protein signaling 16,O15492,1
Insulin-induced gene 1 protein,O15503,1
CASP8 and FADD-like apoptosis regulator,O15519,1
Pyrin,O15553,1
Zinc finger and BTB domain-containing protein 24,O43167,1
Cytoplasmic dynein 1 light intermediate chain 2,O43237,1
Bifunctional 3'-phosphoadenosine 5'-phosphosulfate synthase 1,O43252,1
Kunitz-type protease inhibitor 2,O43291,1
Zinc finger and BTB domain-containing protein 43,O43298,1
AP-5 complex subunit zeta-1,O43299,1
Aquaporin-9,O43315,1
U4/U6 small nuclear ribonucleoprotein Prp3,O43395,1
Tumor protein D54,O43399,1
Aflatoxin B1 aldehyde reductase member 2,O43488,1
Trans-Golgi network integral membrane protein 2,O43493,1
Linker for activation of T-cells family member 1,O43561,1
NADH-ubiquinone oxidoreductase SGDH subunit,O43674,1
ATPase GET3,O43681,1
"Keratin, type II cuticular Hb6",O43790,1
Unconventional myosin-Ib,O43795,1
Peroxisomal membrane protein PMP34,O43808,1
Glutathione S-transferase LANCL1,O43813,1
"Protein SCO2 homolog, mitochondrial",O43819,1
Zinc finger and BTB domain-containing protein 14,O43829,1
"Isocitrate dehydrogenase [NAD] subunit beta, mitochondrial",O43837,1
Origin recognition complex subunit 5,O43913,1
Ephrin-A2,O43921,1
SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 5,O60264,1
Kinesin-like protein KIF1B,O60333,1
Protein fem-1 homolog B/Lysine-specific histone demethylase 1A,O60341|Q9UK73,1
Exocyst complex component 3,O60645,1
Importin subunit alpha-7,O60684,1
UDP-glucose 6-dehydrogenase,O60701,1
Leupaxin,O60711,1
Catenin delta-1,O60716,1
Sorting nexin-2,O60749,1
Galanin receptor,O60755|O43603|P47211,1
Thiamine transporter 1,O60779,1
Bromodomain-containing protein 4/Protein ENL,O60885|Q03111,1
Kelch-like ECH-associated protein 1/Bromodomain-containing protein 4,O60885|Q14145,1
E3 ubiquitin-protein ligase RNF114/Bromodomain-containing protein 4,O60885|Q9Y508,1
Protein CutA,O60888,1
Prefoldin subunit 1,O60925,1
Nibrin,O60934,1
Sodium channel regulatory subunit beta-2,O60939,1
mRNA-capping enzyme,O60942,1
Low affinity immunoglobulin gamma Fc region receptor III-B,O75015,1
Rho-associated protein kinase 2/Transforming protein RhoA,O75116|P61586,1
Zinc finger BED domain-containing protein 4,O75132,1
Autophagy-related protein 13,O75143,1
Clustered mitochondria protein homolog,O75153,1
Lysine-specific demethylase 4A/Lysine-specific demethylase 4B,O75164|O94953,1
DnaJ homolog subfamily C member 13,O75165,1
DnaJ homolog subfamily B member 6,O75190,1
Gamma-glutamylcyclotransferase,O75223,1
Tubulin-specific chaperone A,O75347,1
Mannose-P-dolichol utilization defect 1 protein,O75352,1
Protein fem-1 homolog B/Nuclear receptor corepressor 1,O75376|Q9UK73,1
"NADH dehydrogenase [ubiquinone] iron-sulfur protein 6, mitochondrial",O75380,1
Vacuolar protein sorting-associated protein 26A,O75436,1
Microtubule-associated protein 1 light chain 3 beta/Polycomb protein EED,O75530|Q9GZQ8,1
Integrin alpha-10,O75578,1
E3 ubiquitin-protein ligase MYCBP2,O75592,1
"GTPase Era, mitochondrial",O75616,1
PR domain zinc finger protein 1,O75626,1
TIP41-like protein,O75663,1
Protein phosphatase 1 regulatory subunit 15A,O75807,1
Dynactin subunit 3,O75935,1
Flotillin-1,O75955,1
Glutaredoxin-3,O76003,1
Annexin A9,O76027,1
Natural cytotoxicity triggering receptor 1,O76036,1
Metastasis-associated protein MTA2,O94776,1
STE20-like serine/threonine-protein kinase/Serine/threonine-protein kinase 10,O94804|Q9H2G2,1
Triacylglycerol hydrolase DDHD2,O94830,1
TOX high mobility group box family member 4,O94842,1
E3 UFM1-protein ligase 1,O94874,1
Mechanosensitive cation channel TMEM63A,O94886,1
Pyridoxal phosphate homeostasis protein,O94903,1
Endonuclease domain-containing 1 protein,O94919,1
AP-2 complex subunit alpha-2,O94973,1
NADH-ubiquinone oxidoreductase B17 subunit,O95139,1
Dual specificity protein phosphatase 14,O95147,1
Peripheral-type benzodiazepine receptor-associated protein 1,O95153,1
Elongator complex protein 1,O95163,1
"NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 8, mitochondrial",O95169,1
Mitochondrial proton/calcium exchanger protein,O95202,1
Zinc finger Ran-binding domain-containing protein 2,O95218,1
Vesicle-associated membrane protein-associated protein B/C,O95292,1
NADH-ubiquinone oxidoreductase 42 kDa subunit,O95299,1
CUGBP Elav-like family member 2,O95319,1
Zinc finger and BTB domain-containing protein 7A,O95365,1
Adenylyltransferase and sulfurtransferase MOCS3,O95396,1
CD2 antigen cytoplasmic tail-binding protein 2,O95400,1
Zinc finger and BTB domain-containing protein 11,O95625,1
Netrin-1,O95631,1
Cleavage and polyadenylation specificity factor subunit 4,O95639,1
Phosphatidate cytidylyltransferase 2,O95674,1
von Hippel-Lindau disease tumor suppressor/Steroid hormone receptor ERR2,O95718|P40337,1
Synaptosomal-associated protein 29,O95721,1
Polypyrimidine tract-binding protein 3,O95758,1
"3'(2'),5'-bisphosphate nucleotidase 1",O95861,1
Monocarboxylate transporter 3,O95907,1
Putative lipid scramblase CLPTM1,O96005,1
Cytochrome c oxidase subunit 3,P00414,1
Baculoviral IAP repeat-containing protein 2/E3 ubiquitin-protein ligase XIAP/Breakpoint cluster region protein/Tyrosine-protein kinase ABL1,P00519|P98170|P11274|Q13490,1
EGFR/PPP1CA,P00533|P62136,1
Baculoviral IAP repeat-containing protein 2/Epidermal growth factor receptor,P00533|Q13490,1
UBR/Epidermal growth factor receptor,P00533|Q5T4S7|Q8IWV7|Q8IWV8,1
Protein zyg-11 homolog B/Protein zer-1 homolog/Epidermal growth factor receptor,P00533|Q9C0D3|Q7Z7L7,1
Prothrombinase complex,P00742|P12259,1
Protein cereblon/Cystatin-C,P01034|Q96SW2,1
Protein c-Fos,P01100,1
von Hippel-Lindau disease tumor suppressor/Myc proto-oncogene protein,P01106|P40337,1
Protein cereblon/Myc proto-oncogene protein,P01106|Q96SW2,1
Protein cereblon/GTPase NRas,P01111|Q96SW2,1
Protein cereblon/GTPase HRas,P01112|Q96SW2,1
Transforming growth factor beta,P01137|P61812|P10600,1
