Target,Accessions,Compounds
von Hippel-Lindau disease tumor suppressor/Receptor-interacting serine/threonine-protein kinase 1,Q13546|P40337,2
Histone deacetylase 1/8,Q13547|Q9BY41,2
Cullin-3,Q13618,2
Spliceosome RNA helicase DDX39B,Q13838,2
Tubulin beta-2A chain,Q13885,2
Unhealthy ribosome biogenesis protein 2 homolog,Q14146,2
Malectin,Q14165,2
Dihydropyrimidinase-related protein 3,Q14195,2
Caprin-1,Q14444,2
Transcription factor HES-1,Q14469,2
Protein RRP5 homolog,Q14690,2
Delta(14)-sterol reductase LBR,Q14739,2
LIM and SH3 domain protein 1,Q14847,2
Prostaglandin reductase 1,Q14914,2
von Hippel-Lindau disease tumor suppressor/Nuclear receptor subfamily 1 group I member 3,Q14994|P40337,2
GTPase-activating protein and VPS9 domain-containing protein 1,Q14C86,2
Signal peptidase complex subunit 2,Q15005,2
Metal cation symporter ZIP14,Q15043,2
Inorganic pyrophosphatase,Q15181,2
Retinoblastoma-binding protein 5,Q15291,2
Elongin-C,Q15369,2
Ubiquitin-protein ligase E3C,Q15386,2
Splicing factor 3A subunit 2,Q15428,2
Protein transport protein Sec23B,Q15437,2
Splicing factor 3A subunit 1,Q15459,2
Homeobox protein SIX1,Q15475,2
Microtubule-associated protein RP/EB family member 2,Q15555,2
Splicing factor 1,Q15637,2
Mediator of RNA polymerase II transcription subunit 1,Q15648,2
Tyrosine-protein phosphatase non-receptor type 14,Q15678,2
Protein cereblon/Mitogen-activated protein kinase 11,Q15759|Q96SW2,2
Probable G-protein coupled receptor 19,Q15760,2
Ubiquitin-like protein NEDD8,Q15843,2
Zyxin,Q15942,2
Septin-7,Q16181,2
NRF2-MAFG,Q16236|O15525,2
Alpha-internexin,Q16352,2
Cysteine and glycine-rich protein 2,Q16527,2
Probable G-protein coupled receptor 162,Q16538,2
Synaptophysin-like protein 1,Q16563,2
Histone-binding protein RBBP7,Q16576,2
von Hippel-Lindau disease tumor suppressor/Mitogen-activated protein kinase kinase kinase 11,Q16584|P40337,2
Transcription factor NF-E2 45 kDa subunit,Q16621,2
Cleavage and polyadenylation specificity factor subunit 6,Q16630,2
"2,4-dienoyl-CoA reductase [(3E)-enoyl-CoA-producing], mitochondrial",Q16698,2
NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 5,Q16718,2
Heterogeneous nuclear ribonucleoprotein U-like protein 2,Q1KMD3,2
Protein FAM83E,Q2M2I3,2
La-related protein 7,Q4G0J3,2
Transport and Golgi organization protein 1 homolog,Q5JRA6,2
Protein FAM83B,Q5T0W9,2
Probable ATP-dependent RNA helicase DDX59,Q5T1V6,2
Ubiquitin-associated protein 2,Q5T6F2,2
G-protein coupled receptor family C group 6 member A,Q5T6X5,2
Metabotropic glycine receptor,Q5T848,2
ATPase family AAA domain-containing protein 3B,Q5T9A4,2
Microtubule cross-linking factor 3,Q5TF21,2
MICOS complex subunit MIC10,Q5TGZ0,2
G-protein coupled receptor 157,Q5UAW9,2
Telomere-associated protein RIF1,Q5UIP0,2
Lysophospholipase-like protein 1,Q5VWZ2,2
E3 ubiquitin-protein ligase RNF213,Q63HN8,2
AT-rich interactive domain-containing protein 2,Q68CP9,2
Atlastin-3,Q6DD88,2
Probable G-protein coupled receptor 153,Q6NV75,2
RNA polymerase-associated protein CTR9 homolog,Q6PD62,2
Thioredoxin domain-containing protein 11,Q6PKC3,2
La-related protein 1,Q6PKG0,2
Adhesion G-protein coupled receptor D1,Q6QNK2,2
POTE ankyrin domain family member E,Q6S8J3,2
Opsin-5,Q6U736,2
WD repeat-containing protein 82,Q6UXN9,2
Ceramide synthase 6,Q6ZMG9,2
Beclin 1-associated autophagy-related key regulator,Q6ZNE5,2
Mediator of RNA polymerase II transcription subunit 25,Q71SY5,2
Tubulin alpha-1A /beta chains,Q71U36|P07437,2
Ribosomal protein eS27-like,Q71UM5,2
Synaptic vesicle glycoprotein 2A,Q7L0J3,2
Eukaryotic translation initiation factor 3 subunit M,Q7L2H7,2
Putative pre-mRNA-splicing factor ATP-dependent RNA helicase DHX32,Q7L7V1,2
Probable G-protein coupled receptor 141,Q7Z602,2
Adhesion G protein-coupled receptor D2,Q7Z7M1,2
Mas-related G-protein coupled receptor member G,Q86SM5,2
Mas-related G-protein coupled receptor member E,Q86SM8,2
Probable G-protein coupled receptor 149,Q86SP6,2
Adhesion G-protein coupled receptor G6,Q86SQ4,2
Adhesion G protein-coupled receptor A1,Q86SQ6,2
Transcriptional regulator Kaiso,Q86T24,2
E3 ubiquitin-protein ligase synoviolin,Q86TM6,2
Protein polybromo-1/von Hippel-Lindau disease tumor suppressor,Q86U86|P40337,2
Kinectin,Q86UP2,2
Zinc finger CCCH domain-containing protein 18,Q86VM9,2
Cullin-associated NEDD8-dissociated protein 1,Q86VP6,2
S-geranylgeranyl-glutathione receptor P2RY8,Q86VZ1,2
E3 ubiquitin-protein ligase RNF126/Stimulator of interferon genes protein,Q86WV6|Q9BV68,2
Adhesion G protein-coupled receptor G3,Q86Y34,2
PHD finger protein 13,Q86YI8,2
C2 domain-containing protein 5,Q86YS7,2
"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase zeta-1",Q86YW0,2
Adhesion G protein-coupled receptor A3,Q8IWK6,2
E3 ubiquitin-protein ligase UBR1,Q8IWV7,2
E3 ubiquitin-protein ligase UBR2,Q8IWV8,2
Mitochondrial Rho GTPase 2,Q8IXI1,2
Methionine-R-sulfoxide reductase B3,Q8IXL7,2
RNA-binding protein 12B,Q8IXT5,2
Katanin p60 ATPase-containing subunit A-like 2,Q8IYT4,2
Aldehyde dehydrogenase family 16 member A1,Q8IZ83,2
Adhesion G protein-coupled receptor F5,Q8IZF2,2
Adhesion G protein-coupled receptor F4,Q8IZF3,2
Adhesion G-protein coupled receptor G5,Q8IZF4,2
Adhesion G-protein coupled receptor F3,Q8IZF5,2
Putative adhesion G protein-coupled receptor F2P,Q8IZF7,2
Adhesion G-protein coupled receptor G2,Q8IZP9,2
Vitamin K epoxide reductase complex subunit 1-like protein 1,Q8N0U8,2
Regulatory-associated protein of mTOR,Q8N122,2
ORM1-like protein 3,Q8N138,2
Leucine-rich repeat-containing protein 47,Q8N1G4,2
Cleavage and polyadenylation specificity factor subunit 7,Q8N684,2
Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit KCP2,Q8N6L1,2
ADP-ribosylation factor GTPase-activating protein 1,Q8N6T3,2
G-protein coupled receptor 161,Q8N6U8,2
Serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit B,Q8N8A2,2
Equilibrative nucleobase transporter 1,Q8NBI5,2
SERPINE1 mRNA-binding protein 1,Q8NC51,2
Carbohydrate sulfotransferase 4,Q8NCG5,2
Protein LSM14 homolog A,Q8ND56,2
G-protein coupled receptor 26,Q8NDV2,2
ATP-binding cassette sub-family F member 1,Q8NE71,2
Lysophosphatidylcholine acyltransferase 1,Q8NF37,2
Ubiquitin carboxyl-terminal hydrolase 32,Q8NFA0,2
Retinoic acid-induced protein 3,Q8NFJ5,2
Probable G-protein coupled receptor 156,Q8NFN8,2
Delta and Notch-like epidermal growth factor-related receptor,Q8NFT8,2
Probable G-protein coupled receptor 150,Q8NGU9,2
Tudor domain-containing protein 7,Q8NHU6,2
THO complex subunit 2,Q8NI27,2
WD repeat-containing protein 48,Q8TAF3,2
USP46/WDR48/WDR20,Q8TAF3|P62068|Q8TBZ3,2
USP12/WDR48/WDR20,Q8TAF3|Q8TBZ3|O75317,2
Adenosine 3'-phospho 5'-phosphosulfate transporter 1,Q8TB61,2
"5'(3')-deoxyribonucleotidase, cytosolic type",Q8TCD5,2
Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3B,Q8TCJ2,2
Signal peptide peptidase-like 2B,Q8TCT7,2
CDK5 and ABL1 enzyme substrate 1,Q8TDN4,2
Alkaline ceramidase 1,Q8TDN7,2
Mas-related G-protein coupled receptor member D,Q8TDS7,2
Probable G-protein coupled receptor 152,Q8TDT2,2
Probable G-protein coupled receptor 148,Q8TDV2,2
Nuclear pore membrane glycoprotein 210,Q8TEM1,2
Fibroblast growth factor receptor substrate 2,Q8WU20,2
Phosphatidylglycerophosphatase and protein-tyrosine phosphatase 1,Q8WUK0,2
Protein THEM6,Q8WUY1,2
Heterogeneous nuclear ribonucleoprotein L-like,Q8WVV9,2
Fatty acyl-CoA reductase 1,Q8WVX9,2
Ataxin-2-like protein,Q8WWM7,2
Ras association domain-containing protein 5,Q8WWW0,2
Paraspeckle component 1,Q8WXF1,2
Transcriptional repressor p66-beta,Q8WXI9,2
DnaJ homolog subfamily C member 9,Q8WXX5,2
Titin,Q8WZ42,2
Zinc transporter SLC39A7,Q92504,2
Histone H1.10,Q92522,2
Transmembrane 9 superfamily member 4,Q92544,2
Small ribosomal subunit protein mS27,Q92552,2
AP-3 complex subunit sigma-1,Q92572,2
TBC1 domain family member 5,Q92609,2
GPI-anchor transamidase,Q92643,2
Geranylgeranyl transferase type-2 subunit alpha,Q92696,2
Receptor-type tyrosine-protein phosphatase U,Q92729,2
Symplekin,Q92797,2
von Hippel-Lindau disease tumor suppressor/Histone-lysine N-methyltransferase EZH1,Q92800|P40337,2
Protein cereblon/Histone acetyltransferase KAT2B,Q92831|Q96SW2,2
Golgi apparatus protein 1,Q92896,2
SWI/SNF complex subunit SMARCC1,Q92922,2
SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily D member 2,Q92925,2
Potassium voltage-gated channel subfamily B member 2,Q92953,2
Stathmin-2,Q93045,2
Phosphorylase kinase beta subunit,Q93100,2
SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily E member 1,Q969G3,2
Protein MAL2,Q969L2,2
Protein YIPF5,Q969M3,2
Trace amine-associated receptor 8,Q969N4,2
PAT complex subunit CCDC47,Q96A33,2
Exocyst complex component 4,Q96A65,2
Mas-related G-protein coupled receptor member F,Q96AM1,2
von Hippel-Lindau disease tumor suppressor/Serine/threonine-protein kinase Sgk3,Q96BR1|P40337,2
Protein FAM136A,Q96C01,2
EF-hand domain-containing protein D2,Q96C19,2
AP-2 complex subunit mu,Q96CW1,2
Stromal interaction molecule 1 & 2/Calcium release-activated calcium channel protein 1,Q96D31|Q13586|Q9P246,2
Carboxymethylenebutenolidase homolog,Q96DG6,2
RNA-binding protein Musashi homolog 2,Q96DH6,2
DAZ-associated protein 1,Q96EP5,2
"DnaJ homolog subfamily A member 3, mitochondrial",Q96EY1,2
"Dynein light chain 2, cytoplasmic",Q96FJ2,2
Phosphopentomutase,Q96G03,2
OTU domain-containing protein 5,Q96G74,2
Vacuole membrane protein 1,Q96GC9,2
"ATP synthase F(0) complex subunit k, mitochondrial",Q96IX5,2
E3 ubiquitin-protein ligase Itchy homolog,Q96J02,2
Solute carrier family 45 member 3,Q96JT2,2
Solute carrier family 35 member E1,Q96K37,2
Tetratricopeptide repeat protein 14,Q96N46,2
Membrane-bound acylglycerophosphatidylinositol O-acyltransferase MBOAT7,Q96N66,2
Probable G-protein coupled receptor 101,Q96P66,2
Probable G-protein coupled receptor 82,Q96P67,2
G-protein coupled receptor 78,Q96P69,2
Importin-9,Q96P70,2
Adhesion G protein-coupled receptor A2,Q96PE1,2
Transcriptional regulator protein Pur-beta,Q96QR8,2
"Membrane-associated guanylate kinase, WW and PDZ domain-containing protein 1",Q96QZ7,2
von Hippel-Lindau disease tumor suppressor/Bile acid receptor,Q96RI1|P40337,2
Trace amine-associated receptor 6,Q96RI8,2
Trace amine-associated receptor 9,Q96RI9,2
Potassium voltage-gated channel subfamily A member 7,Q96RP8,2
ERBIN-P0071,Q96RT1|Q99569,2
GPI-anchor transamidase component PIGS,Q96S52,2
Protein cereblon/Eukaryotic peptide chain release factor GTP-binding subunit ERF3B,Q96SW2|Q8IYD1,2
Protein cereblon/LIM domain-containing protein 1,Q96SW2|Q9UGP4,2
Potassium channel subfamily K member 17,Q96T54,2
MMS19 nucleotide excision repair protein homolog,Q96T76,2
Glutamate decarboxylase 1,Q99259,2
Cell division cycle 5-like protein,Q99459,2
26S proteasome non-ATPase regulatory subunit 1,Q99460,2
von Hippel-Lindau disease tumor suppressor/G-protein coupled estrogen receptor 1,Q99527|P40337,2
COP9 signalosome complex subunit 8,Q99627,2
G-protein coupled receptor 20,Q99678,2
Probable G-protein coupled receptor 21,Q99679,2
G-protein coupled receptor 22,Q99680,2
Heterogeneous nuclear ribonucleoprotein A/B,Q99729,2
Protein cereblon/Endothelial PAS domain-containing protein 1,Q99814|Q96SW2,2
Probable rRNA-processing protein EBP2,Q99848,2
Protein NipSnap homolog 1,Q9BPW8,2
Methylosome protein WDR77,Q9BQA1,2
Thioredoxin domain-containing protein 17,Q9BRA2,2
Protein cholesin,Q9BRJ6,2
Programmed cell death protein 2-like,Q9BRP1,2
PRMT5-Riok1,Q9BRS2|O14744,2
Peroxiredoxin-like 2A,Q9BRX8,2
Chitobiosyldiphosphodolichol beta-mannosyltransferase,Q9BT22,2
Transmembrane protein 43,Q9BTV4,2
Tubulin-specific chaperone D,Q9BTW9,2
Tubulin beta-6 chain,Q9BUF5,2
Derlin-1,Q9BUN8,2
Vesicle-associated membrane protein 8,Q9BV40,2
Tubulin beta-2B chain,Q9BVA1,2
Voltage-gated monoatomic cation channel TMEM109,Q9BVC6,2
Protein PBDC1,Q9BVG4,2
"Dolichyl pyrophosphate Glc1Man9GlcNAc2 alpha-1,3-glucosyltransferase",Q9BVK2,2
Transmembrane emp24 domain-containing protein 9,Q9BVK6,2
"N-alpha-acetyltransferase 15, NatA auxiliary subunit",Q9BXJ9,2
Serrate RNA effector molecule homolog,Q9BXP5,2
Queuine tRNA-ribosyltransferase catalytic subunit 1,Q9BXR0,2
Microtubule-associated protein 1 light chain 3 gamma,Q9BXW4,2
G-protein coupled receptor 87,Q9BY21,2
Lysine-specific demethylase 5D,Q9BY66,2
von Hippel-Lindau disease tumor suppressor/Histone-lysine N-methyltransferase NSD3,Q9BZ95|P40337,2
Oxysterol-binding protein-related protein 8,Q9BZF1,2
Probable G-protein coupled receptor 63,Q9BZJ6,2
G-protein coupled receptor 62,Q9BZJ7,2
G-protein coupled receptor 61,Q9BZJ8,2
Ethanolaminephosphotransferase 1,Q9C0D9,2
Endoplasmic reticulum junction formation protein lunapark,Q9C0E8,2
pre-mRNA 3' end processing protein WDR33,Q9C0J8,2
ATP-dependent RNA helicase DDX24,Q9GZR7,2
Single-stranded DNA cytosine deaminase,Q9GZX7,2
Polyadenylate-binding protein-interacting protein 1,Q9H074,2
5'-3' exoribonuclease 2,Q9H0D6,2
Zinc finger CW-type PWWP domain protein 1,Q9H0M4,2
Gamma-aminobutyric acid receptor-associated protein-like 1,Q9H0R8,2
Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit MAGT1,Q9H0U3,2
Dual specificity protein phosphatase 15,Q9H1R2,2
Opsin-3,Q9H1Y3,2
Growth hormone-inducible transmembrane protein,Q9H3K2,2
BolA-like protein 2,Q9H3K6,2
Protein salvador homolog 1,Q9H4B6,2
Glutathione S-transferase omega-2,Q9H4Y5,2
HEAT repeat-containing protein 1,Q9H583,2
Probable ATP-dependent RNA helicase DHX35,Q9H5Z1,2
"tRNA (cytosine(34)-C(5))-methyltransferase, mitochondrial",Q9H649,2
N-alpha-acetyltransferase 60,Q9H7X0,2
Gem-associated protein 7,Q9H840,2
5'-nucleotidase domain-containing protein 2,Q9H857,2
Thiol S-methyltransferase TMT1A,Q9H8H3,2
DDB1- and CUL4-associated factor 15/Bromodomain-containing protein 9,Q9H8M2|Q66K64,2
GRASP55-JAMB,Q9H8Y8|P57087,2
CCR4-NOT transcription complex subunit 10,Q9H9A5,2
Sideroflexin-1,Q9H9B4,2
Kinesin-like protein KIF9,Q9HAQ2,2
Dual specificity protein kinase CLK1/CLK4,Q9HAZ1|P49759,2
Pleckstrin homology domain-containing family A member 1,Q9HB21,2
Cytochrome P450 3A43,Q9HB55,2
Sp110 nuclear body protein,Q9HB58,2
Adhesion G protein-coupled receptor L4,Q9HBW9,2
Leucine-rich repeat-containing G-protein coupled receptor 6,Q9HBX8,2
Putative divalent cation/proton antiporter TMEM165,Q9HC07,2
"Methylcrotonoyl-CoA carboxylase beta chain, mitochondrial",Q9HCC0,2
Transient receptor potential cation channel subfamily M member 3,Q9HCF6,2
"Glycerol-3-phosphate acyltransferase 1, mitochondrial",Q9HCL2,2
Transmembrane 9 superfamily member 3,Q9HD45,2
"Thioredoxin reductase 2, mitochondrial",Q9NNW7,2
SH2 domain-containing protein 2A,Q9NP31,2
"5'(3')-deoxyribonucleotidase, mitochondrial",Q9NPB1,2
Exosome complex component RRP41,Q9NPD3,2
tRNA N6-adenosine threonylcarbamoyltransferase,Q9NPF4,2
DDB1- and CUL4-associated factor 15/Bromodomain-containing protein 7,Q9NPI1|Q66K64,2
Protein cereblon/Bromodomain-containing protein 7,Q9NPI1|Q96SW2,2
G-protein coupled receptor family C group 5 member C,Q9NQ84,2
Inner centromere protein,Q9NQS7,2
Histone-lysine N-methyltransferase PRDM7,Q9NQW5,2
Small COPII coat GTPase SAR1A,Q9NR31,2
N-acetylneuraminate-9-phosphate synthase,Q9NR45,2
Toll-like receptor (TLR7/TLR9),Q9NR96|Q9NYK1,2
DNA polymerase epsilon subunit 3,Q9NRF9,2
Aladin,Q9NRG9,2
Oligosaccharyltransferase complex subunit OSTC,Q9NRP0,2
DNA dC->dU-editing enzyme APOBEC-3C,Q9NRW3,2
Probable G-protein coupled receptor 173,Q9NS66,2
Beta-catenin-interacting protein 1,Q9NSA3,2
"Protein cereblon/NAD-dependent protein deacetylase sirtuin-3, mitochondrial",Q9NTG7|Q96SW2,2
CYFIP-related Rac1 interactor B,Q9NUQ9,2
Nucleotide triphosphate diphosphatase NUDT15,Q9NV35,2
Exocyst complex component 1,Q9NV70,2
Fanconi anemia group I protein,Q9NVI1,2
ATPase family AAA domain-containing protein 3A,Q9NVI7,2
ATP-dependent RNA helicase DDX18,Q9NVP1,2
Pyridoxine-5'-phosphate oxidase,Q9NVS9,2
Protein SDA1 homolog,Q9NVU7,2
RNA-binding protein 28,Q9NW13,2
Phosphoprotein associated with glycosphingolipid-enriched microdomains 1,Q9NWQ8,2
Ceroid-lipofuscinosis neuronal protein 6,Q9NWW5,2
E3 ubiquitin-protein ligase XIAP/Interleukin-1 receptor-associated kinase 4,Q9NWZ3|P98170,2
Transmembrane protein 161A,Q9NX61,2
Palmitoyltransferase ZDHHC7,Q9NXF8,2
THUMP domain-containing protein 1,Q9NXG2,2
Tubulin alpha-8 chain,Q9NY65,2
Bcl-2-associated transcription factor 1,Q9NYF8,2
G-protein coupled receptor 83,Q9NYM4,2
G-protein coupled receptor family C group 5 member D,Q9NZD1,2
G-protein coupled receptor family C group 5 member B,Q9NZH0,2
NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 4,Q9P032,2
Very-long-chain (3R)-3-hydroxyacyl-CoA dehydratase 3,Q9P035,2
GSK3B-interacting protein,Q9P0R6,2
Trace amine-associated receptor 2,Q9P1P5,2
Ribosome-binding protein 1,Q9P2E9,2
Neurochondrin,Q9UBB6,2
Coatomer subunit gamma-2,Q9UBF2,2
Set1/Ash2 histone methyltransferase complex subunit ASH2,Q9UBL3,2
HDAC6-ISG15,Q9UBN7|P05161,2
Spastin,Q9UBP0,2
Glyoxylate reductase/hydroxypyruvate reductase,Q9UBQ7,2
Mortality factor 4-like protein 1,Q9UBU8,2
Testin,Q9UGI8,2
Translocation protein SEC63 homolog,Q9UGP8,2
SUN domain-containing protein 2,Q9UH99,2
Ragulator complex protein LAMTOR3,Q9UHA4,2
AF4/FMR2 family member 4,Q9UHB7,2
Signal recognition particle subunit SRP68,Q9UHB9,2
Probable ATP-dependent RNA helicase DDX20,Q9UHI6,2
Solute carrier family 23 member 1,Q9UHI7,2
Translation initiation factor eIF2B subunit delta,Q9UI10,2
V-type proton ATPase subunit H,Q9UI12,2
Exportin-7,Q9UIA9,2
Lymphoid enhancer-binding factor 1,Q9UJU2,2
Drebrin-like protein,Q9UJU6,2
Cell division cycle protein 23 homolog,Q9UJX2,2
"Stomatin-like protein 2, mitochondrial",Q9UJZ1,2
Growth/differentiation factor 2,Q9UK05,2
mRNA turnover protein 4 homolog,Q9UKD2,2
G patch domain-containing protein 8,Q9UKJ3,2
von Hippel-Lindau disease tumor suppressor/Histone deacetylase 9,Q9UKV0|P40337,2
Apoptotic chromatin condensation inducer in the nucleus,Q9UKV3,2
CCR4-NOT transcription complex subunit 11,Q9UKZ1,2
TRPC1/TRPC5,Q9UL62|P48995,2
Calcium load-activated calcium channel,Q9UM00,2
Mammalian ependymin-related protein 1,Q9UM22,2
Pre-mRNA-processing factor 19,Q9UMS4,2
Translocon-associated protein subunit gamma,Q9UNL2,2
FAS-associated factor 1,Q9UNN5,2
"Microtubule-actin cross-linking factor 1, isoforms 1/2/3/4/5",Q9UPN3,2
Actin-binding protein WASF3,Q9UPY6,2
Proliferation-associated protein 2G4,Q9UQ80,2
Protein cereblon/Histone deacetylase 5,Q9UQL6|Q96SW2,2
Bifunctional UDP-N-acetylglucosamine 2-epimerase/N-acetylmannosamine kinase,Q9Y223,2
Nuclear migration protein nudC,Q9Y266,2
Developmentally-regulated GTP-binding protein 1,Q9Y295,2
Small ribosomal subunit protein uS17m,Q9Y2R5,2
Protein SGT1 homolog,Q9Y2Z0,2
Calcium-binding protein 39,Q9Y376,2
Palmitoyltransferase ZDHHC9,Q9Y397,2
EKC/KEOPS complex subunit TPRKB,Q9Y3C4,2
Serine-threonine kinase receptor-associated protein,Q9Y3F4,2
RNA-splicing ligase RtcB homolog,Q9Y3I0,2
Nucleolar complex protein 2 homolog,Q9Y3T9,2
Large ribosomal subunit protein eL36,Q9Y3U8,2
Telomere length regulation protein TEL2 homolog,Q9Y4R8,2
Sorting and assembly machinery component 50 homolog,Q9Y512,2
Protein PRRC2C,Q9Y520,2
Transportin-3,Q9Y5L0,2
Signal recognition particle receptor subunit beta,Q9Y5M8,2
Probable G-protein coupled receptor 45,Q9Y5Y3,2
Phosphoserine aminotransferase,Q9Y617,2
Adhesion G-protein coupled receptor G1,Q9Y653,2
Chloride intracellular channel protein 4,Q9Y696,2
Brefeldin A-inhibited guanine nucleotide-exchange protein 2,Q9Y6D5,2
Brefeldin A-inhibited guanine nucleotide-exchange protein 1,Q9Y6D6,2
Cytoplasmic dynein 1 light intermediate chain 1,Q9Y6G9,2
Inducible T-cell costimulator,Q9Y6W8,2
Gamma-secretase-activating protein,A4D1B5,3
TANK-binding kinase 1-binding protein 1,A7MCY6,3
CDC42BPA protein,B9EGA7,3
Frizzled-9,O00144,3
ATP-dependent RNA helicase DDX39A,O00148,3
AP-3 complex subunit beta-1,O00203,3
Sulfotransferase 2B1,O00204,3
Ubiquitin-conjugating enzyme E2 C,O00762,3
Transcription elongation regulator 1,O14776,3
Trace amine-associated receptor 5,O14804,3
Calmegin,O14967,3
Protein transport protein Sec16A,O15027,3
U2 snRNP-associated SURP motif-containing protein,O15042,3
NF-kappa-B-repressing factor,O15226,3
Surfeit locus protein 4,O15260,3
Eukaryotic translation initiation factor 3 subunit D,O15371,3
Protein fem-1 homolog B/Histone deacetylase 3,O15379|Q9UK73,3
Transcription factor MafG,O15525,3
P2X purinoceptor 6,O15547,3
Cytochrome b5 type B,O43169,3
U4/U6 small nuclear ribonucleoprotein Prp4,O43172,3
PHD finger protein 1,O43189,3
Eukaryotic translation elongation factor 1 epsilon-1,O43324,3
Protein cereblon/Receptor-interacting serine/threonine-protein kinase 2,O43353|Q96SW2,3
Mitotic checkpoint protein BUB3,O43684,3
Alpha-actinin-4,O43707,3
Mitochondrial carnitine/acylcarnitine carrier protein,O43772,3
Phosphoribosyl pyrophosphate synthase-associated protein 2,O60256,3
Adenylate cyclase type 9,O60503,3
Protein diaphanous homolog 1,O60610,3
Perilipin-3,O60664,3
H/ACA ribonucleoprotein complex subunit DKC1,O60832,3
G-protein coupled receptor 37-like 1,O60883,3
Bromodomain-containing protein 4/DDB1- and CUL4-associated factor 15,O60885|Q66K64,3
Protein fem-1 homolog B/Bromodomain-containing protein 4,O60885|Q9UK73,3
CCR4-NOT transcription complex subunit 3,O75175,3
Nuclear receptor corepressor 1,O75376,3
Vesicle-trafficking protein SEC22b,O75396,3
Pre-mRNA-processing factor 40 homolog A,O75400,3
Cytochrome P450 7B1,O75881,3
Triple functional domain protein,O75962,3
Signal recognition particle subunit SRP72,O76094,3
Erlin-2,O94905,3
Pre-mRNA-processing factor 6,O94906,3
Glutaminase 1/2,O94925|Q9UI32,3
Lecithin retinol acyltransferase,O95237,3
Activator of 90 kDa heat shock protein ATPase homolog 1,O95433,3
Phospholipid-transporting ATPase ABCA1,O95477,3
AP-2 complex subunit alpha-1,O95782,3
"Apoptosis-inducing factor 1, mitochondrial",O95831,3
Mitochondrial import receptor subunit TOM40 homolog,O96008,3
Actin-like protein 6A,O96019,3
Phenylalanine-4-hydroxylase,P00439,3
"Aspartate aminotransferase, mitochondrial",P00505,3
Protein cereblon/Carbonic anhydrase 2,P00918|Q96SW2,3
Platelet-derived growth factor subunit B,P01127,3
Interferon gamma,P01579,3
Erythropoietin,P01588,3
"HLA class II histocompatibility antigen, DQ alpha 1 chain",P01909,3
Muscle-type nicotinic acetylcholine receptor,P02708|P07510|P11230|Q07001|Q04844,3
Complement component C9,P02748,3
von Hippel-Lindau disease tumor suppressor/3-hydroxy-3-methylglutaryl-coenzyme A reductase,P04035|P40337,3
Annexin A1,P04083,3
E3 ubiquitin-protein ligase Mdm2/Cellular tumor antigen p53/Protein Mdm4,P04637|Q00987|O15151,3
Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 2,P04844,3
Interleukin-5,P05113,3
Protein cereblon/Tyrosine-protein kinase Lck/DNA damage-binding protein 1,P06239|Q96SW2|Q16531,3
S-phase kinase-associated protein 2/Bifunctional ligase/repressor BirA,P06709|Q13309,3
Glucose-6-phosphate isomerase,P06744,3
Prosaposin,P07602,3
Heat shock protein HSP 90-alpha/Bromodomain-containing protein 4,P07900|O60885,3
von Hippel-Lindau disease tumor suppressor/Heat shock protein HSP 90-alpha/Heat shock protein HSP 90-beta,P07900|P08238|P40337,3
Annexin A6,P08133,3
Fibroblast growth factor 4,P08620,3
Integrin alpha-5/beta-8,P08648|P26012,3
Clathrin light chain A,P09496,3
Heterogeneous nuclear ribonucleoprotein A1,P09651,3
Protein cereblon-alpha tubulin,P0DPH7|P68366|Q71U36|P68363|Q9BQE3|Q6PEY2|A6NHL2|Q9NY65|Q96SW2,3
"Glutamine amidotransferase-like class 1 domain-containing protein 3, mitochondrial",P0DPI2,3
S-formylglutathione hydrolase,P10768,3
"Pyruvate dehydrogenase E1 component subunit beta, mitochondrial",P11177,3
Ras-related protein Ral-A,P11233,3
Arylamine N-acetyltransferase 2,P11245,3
Topoisomerase I/II,P11387|P11388,3
von Hippel-Lindau disease tumor suppressor/Vitamin D3 receptor,P11473|P40337,3
Serine/threonine-protein kinase H1,P11801,3
Cyclin-dependent kinase 4/cyclin D2,P11802|P30279,3
Baculoviral IAP repeat-containing protein 2/Cyclin-dependent kinase 4,P11802|Q13490,3
Nucleoprotein TPR,P12270,3
X-ray repair cross-complementing protein 6,P12956,3
X-ray repair cross-complementing protein 5,P13010,3
Lysosome-associated membrane glycoprotein 2,P13473,3
Heterogeneous nuclear ribonucleoprotein L,P14866,3
Ras-related C3 botulinum toxin substrate 2,P15153,3
Replication protein A 32 kDa subunit,P15927,3
MSN-CD44,P16070|P26038,3
Integrin beta-4,P16144,3
Histone H1.2,P16403,3
Prolactin receptor,P16471,3
Stathmin,P16949,3
