Target,Accessions
Bone marrow stromal antigen 2,Q10589
Gamma-aminobutyric acid receptor subunit alpha-2/beta-1/gamma-2,P18507|P18505|P47869
Pyridoxine-5'-phosphate oxidase,Q9NVS9
Microtubule-associated protein 1 light chain 3 gamma/Sequestosome-1,Q13501|Q9BXW4
28S rRNA (cytosine(4447)-C(5))-methyltransferase,P46087
Protein cereblon/Eukaryotic peptide chain release factor GTP-binding subunit ERF3B,Q96SW2|Q8IYD1
Lathosterol oxidase,O75845
Flavin-containing monooxygenase 1,Q01740
von Hippel-Lindau disease tumor suppressor/Programmed cell death 1 ligand 1,P40337|Q9NZQ7
General transcription and DNA repair factor IIH helicase/translocase subunit XPB,P19447
Transcriptional repressor CTCF,P49711
Protein cereblon/Histone acetyltransferase KAT2B,Q92831|Q96SW2
WD repeat and HMG-box DNA-binding protein 1,O75717
Glutamate--cysteine ligase regulatory subunit,P48507
Insulin-like growth factor-binding protein 1,P08833
Protein cereblon/Proto-oncogene tyrosine-protein kinase Src,P12931|Q96SW2
Mu opioid receptor/Alpha-2A adrenergic receptor,P08913|P35372
von Hippel-Lindau disease tumor suppressor/Tyrosine-protein kinase ABL1,P00519|P40337
Glutamate decarboxylase 2,Q05329
Geranylgeranyl transferase type-2 subunit alpha,Q92696
Delta(14)-sterol reductase TM7SF2,O76062
Sulfotransferase 1C2,O00338
CCR5/mu opioid receptor complex,P51681|P35372
Glutamate decarboxylase 1,Q99259
Tropomyosin alpha-1 chain,P09493
Focal adhesion kinase 1/vascular endothelial growth factor receptor 3,P35916|Q05397
Krueppel-like factor 1,Q13351
Small ribosomal subunit protein mS29,P51398
Insulin-like growth factor-binding protein 6,P24592
von Hippel-Lindau disease tumor suppressor/Mast/stem cell growth factor receptor Kit,P10721|P40337
Signal recognition particle 19 kDa protein,P09132
Ubiquitin-like protein NEDD8,Q15843
Phosphatidylinositol transfer protein beta isoform,P48739
Small ribosomal subunit protein uS12,P62266
Protein FAM83B,Q5T0W9
Translocation protein SEC63 homolog,Q9UGP8
Replication factor C subunit 4,P35249
EKC/KEOPS complex subunit TPRKB,Q9Y3C4
Membrane-bound acylglycerophosphatidylinositol O-acyltransferase MBOAT7,Q96N66
Large ribosomal subunit protein bL19m,P49406
BACH1/MafK,O60675|O14867
AT-rich interactive domain-containing protein 2,Q68CP9
ATP-binding cassette sub-family D member 3,P28288
Sideroflexin-1,Q9H9B4
Chitobiosyldiphosphodolichol beta-mannosyltransferase,Q9BT22
AP-2 complex subunit beta,P63010
Actin-related protein 2/3 complex subunit 3,O15145
Monocarboxylate transporter 1/4,P53985|O15427
IAP-Estrogen receptor,P03372|P98170|Q13490
Tubulin beta-2A chain,Q13885
Epidermal growth factor receptor substrate 15,P42566
Histone deacetylase 6/3,O15379|Q9UBN7
Transcription factor ETV6,P41212
von Hippel-Lindau disease tumor suppressor/G-protein coupled estrogen receptor 1,Q99527|P40337
APC/Asef,P25054|Q9NR80
Trace amine-associated receptor 2,Q9P1P5
Receptor-type tyrosine-protein phosphatase U,Q92729
Small COPII coat GTPase SAR1A,Q9NR31
Y-box-binding protein 1,P67809
Fibroblast growth factor 1/Fibroblast growth factor receptor 2,P05230|P21802
Transcription factor MafK,O60675
Coatomer subunit epsilon,O14579
LIFR/GP130,P40189|P42702
Small nuclear ribonucleoprotein Sm D3,P62318
Ubiquitin-ribosomal protein eS31 fusion protein,P62979
Beta-catenin-interacting protein 1,Q9NSA3
TRPC1/TRPC5,Q9UL62|P48995
Zinc transporter SLC39A7,Q92504
HSP90 and hnRNPA2/B1,P08238|P22626
Homeobox protein SIX1,Q15475
FAS-associated factor 1,Q9UNN5
Glycerol-3-phosphate acyltransferase 1, mitochondrial,Q9HCL2
PHD finger protein 13,Q86YI8
Synaptic vesicle glycoprotein 2A,Q7L0J3
Queuine tRNA-ribosyltransferase catalytic subunit 1,Q9BXR0
MER intracellular domain/EGFR extracellular domain chimera,P00533|Q12866
5'-nucleotidase domain-containing protein 2,Q9H857
5'(3')-deoxyribonucleotidase, cytosolic type,Q8TCD5
Nuclear pore membrane glycoprotein 210,Q8TEM1
Aladin,Q9NRG9
Eukaryotic translation initiation factor 3 subunit J,O75822
SWI/SNF complex subunit SMARCC1,Q92922
Cell division cycle protein 23 homolog,Q9UJX2
Ubiquitin-associated protein 2,Q5T6F2
Zinc finger CCCH domain-containing protein 11A,O75152
GTPase-activating protein and VPS9 domain-containing protein 1,Q14C86
cIAP1/cIAP2,Q13489|Q13490
RAF serine/threonine protein kinase,P04049|P15056|P10398
Heterogeneous nuclear ribonucleoprotein A3,P51991
Heterogeneous nuclear ribonucleoprotein R,O43390
Gastric triacylglycerol lipase,P07098
Splicing factor 3A subunit 1,Q15459
ADP/ATP translocase 1,P12235
Exosome complex component RRP41,Q9NPD3
26S proteasome non-ATPase regulatory subunit 3,O43242
V-type proton ATPase subunit H,Q9UI12
Elongation factor 1-beta,P24534
Calumenin,O43852
Delta(14)-sterol reductase LBR,Q14739
Putative divalent cation/proton antiporter TMEM165,Q9HC07
Probable G-protein coupled receptor 63,Q9BZJ6
Signal recognition particle subunit SRP54,P61011
Nardilysin,O43847
WD repeat-containing protein 82,Q6UXN9
E3 ubiquitin-protein ligase NEDD4,P46934
Cystatin-B,P04080
Dual specificity protein phosphatase 15,Q9H1R2
Transmembrane 9 superfamily member 4,Q92544
Cytochrome b-c1 complex subunit 1, mitochondrial,P31930
ATP synthase F(0) complex subunit k, mitochondrial,Q96IX5
WD repeat-containing protein 1,O75083
Gamma-aminobutyric acid receptor subunit alpha-3/beta-3,P28472|P34903
DDB1- and CUL4-associated factor 15/Bromodomain-containing protein 9,Q9H8M2|Q66K64
HLA class I histocompatibility antigen, C alpha chain,P10321
DNA-directed RNA polymerases I and III subunit RPAC1,O15160
Nucleoside diphosphate kinase A/B,P15531|P22392
Coatomer subunit delta,P48444
C5a anaphylatoxin chemotactic receptor 1/2,P21730|Q9P296
Disintegrin and metalloproteinase domain-containing protein 15,Q13444
Zinc finger CCCH domain-containing protein 18,Q86VM9
Tubulin beta-6 chain,Q9BUF5
E3 ubiquitin-protein ligase RBX1,P62877
Apoptotic chromatin condensation inducer in the nucleus,Q9UKV3
ATP-dependent 6-phosphofructokinase, muscle type,P08237
Cytochrome c oxidase subunit 5A, mitochondrial,P20674
RNA-splicing ligase RtcB homolog,Q9Y3I0
NADH dehydrogenase [ubiquinone] iron-sulfur protein 3, mitochondrial,O75489
Nucleolar complex protein 2 homolog,Q9Y3T9
Microtubule-associated protein 1 light chain 3 alpha/Sequestosome-1,Q13501|Q9H492
Ubiquitin carboxyl-terminal hydrolase 46,P62068
von Hippel-Lindau disease tumor suppressor/Cyclin-dependent kinase 1,P06493|P40337
Adhesion G protein-coupled receptor L4,Q9HBW9
Lipopolysaccharide-responsive and beige-like anchor protein,P50851
Solute carrier family 45 member 3,Q96JT2
Metabotropic glycine receptor,Q5T848
Adhesion G protein-coupled receptor G3,Q86Y34
Coatomer subunit gamma-2,Q9UBF2
Calcium-binding protein 39,Q9Y376
Phosphoserine aminotransferase,Q9Y617
Small ribosomal subunit protein uS19,P62841
Sorting and assembly machinery component 50 homolog,Q9Y512
Small ribosomal subunit protein eS24,P62847
Protein S100-A6,P06703
Sodium/potassium-transporting ATPase subunit beta-1,P05026
Antigen peptide transporter 2,Q03519
Large ribosomal subunit protein uL22,P18621
Large ribosomal subunit protein uL15,P46776
Small ribosomal subunit protein eS17,P08708
Single-stranded DNA cytosine deaminase,Q9GZX7
Translation initiation factor eIF2B subunit epsilon,Q13144
Protein cereblon/RAC-beta serine/threonine-protein kinase,P31751|Q96SW2
Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit DAD1,P61803
DAZ-associated protein 1,Q96EP5
Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit KCP2,Q8N6L1
CDK3/Cyclin-E2,O96020|Q00526
Pre-mRNA-processing factor 19,Q9UMS4
Activated RNA polymerase II transcriptional coactivator p15,P53999
Exportin-7,Q9UIA9
von Hippel-Lindau disease tumor suppressor/Zinc finger protein Aiolos,P40337|Q9UKT9
Annexin A11,P50995
Translocon-associated protein subunit delta,P51571
ATP synthase peripheral stalk subunit OSCP, mitochondrial,P48047
V-type proton ATPase subunit G 1,O75348
Ataxin-2-like protein,Q8WWM7
Leucine-rich repeat-containing protein 47,Q8N1G4
Notch receptor,P46531|Q9UM47|Q04721|Q99466
Dolichyl pyrophosphate Glc1Man9GlcNAc2 alpha-1,3-glucosyltransferase,Q9BVK2
Mediator of RNA polymerase II transcription subunit 25,Q71SY5
Adhesion G-protein coupled receptor G2,Q8IZP9
G-protein coupled receptor 78,Q96P69
G-protein coupled receptor family C group 5 member B,Q9NZH0
Mas-related G-protein coupled receptor member E,Q86SM8
Neuropeptides B/W receptor type 2,P48146
Probable G-protein coupled receptor 149,Q86SP6
Insulin-like growth factor-binding protein 4,P22692
Alkaline ceramidase 1,Q8TDN7
Desmoglein-1,Q02413
RNA polymerase-associated protein CTR9 homolog,Q6PD62
Ceroid-lipofuscinosis neuronal protein 6,Q9NWW5
HEAT repeat-containing protein 1,Q9H583
NHP2-like protein 1,P55769
Adhesion G-protein coupled receptor F3,Q8IZF5
ERBIN-P0071,Q96RT1|Q99569
Large ribosomal subunit protein uL30,P18124
Sp110 nuclear body protein,Q9HB58
Small ribosomal subunit protein eS25,P62851
G-protein coupled receptor 83,Q9NYM4
Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3B,Q8TCJ2
Small ribosomal subunit protein eS8,P62241
OTU domain-containing protein 5,Q96G74
AMP-activated protein kinase alpha-1/beta-2/gamma-2,O43741|Q9UGJ0|Q13131
Ras-related protein R-Ras2,P62070
Transcriptional regulator Kaiso,Q86T24
Adhesion G protein-coupled receptor A1,Q86SQ6
General transcription factor IIF subunit 2,P13984
Myosin light polypeptide 6,P60660
4-trimethylaminobutyraldehyde dehydrogenase,P49189
von Hippel-Lindau disease tumor suppressor/Cyclin-dependent kinase 5,Q00535|P40337
Adhesion G protein-coupled receptor D2,Q7Z7M1
Probable G-protein coupled receptor 21,Q99679
Probable G-protein coupled receptor 45,Q9Y5Y3
GRASP55-JAMB,Q9H8Y8|P57087
Tumor necrosis factor ligand superfamily member 6,P48023
Alpha-2-macroglobulin,P01023
Adhesion G protein-coupled receptor F4,Q8IZF3
Thioredoxin domain-containing protein 17,Q9BRA2
Mitochondrial-processing peptidase subunit beta,O75439
Y-box-binding protein 3,P16989
26S proteasome regulatory subunit 7,P35998
Transferrin receptor protein 1,P02786
Protein FAM83E,Q2M2I3
TELO2-interacting protein 1 homolog,O43156
Titin,Q8WZ42
Probable G-protein coupled receptor 141,Q7Z602
Protein transport protein Sec61 subunit alpha isoform 1,P61619
U1 small nuclear ribonucleoprotein A,P09012
Microtubule cross-linking factor 3,Q5TF21
ATP synthase F(1) complex subunit delta, mitochondrial,P30049
SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily D member 2,Q92925
Replication factor C subunit 1,P35251
Small subunit processome component 20 homolog,O75691
Probable ATP-dependent RNA helicase DHX35,Q9H5Z1
Growth hormone receptor,P10912
Actin-binding protein WASF3,Q9UPY6
DNA-directed RNA polymerase II subunit RPB2,P30876
Peptidyl-prolyl cis-trans isomerase H,O43447
Cullin-3,Q13618
CDK5 and ABL1 enzyme substrate 1,Q8TDN4
Stathmin-2,Q93045
Mitochondrial import inner membrane translocase subunit TIM44,O43615
UBX domain-containing protein 1,Q04323
Transmembrane protein 43,Q9BTV4
Splicing factor 1,Q15637
Centromere/kinetochore protein zw10 homolog,O43264
Fibroblast growth factor receptor substrate 2,Q8WU20
Aspartate--tRNA ligase, cytoplasmic,P14868
Growth hormone-inducible transmembrane protein,Q9H3K2
Histone H1.4,P10412
Heterogeneous nuclear ribonucleoprotein H3,P31942
Importin-9,Q96P70
Junction plakoglobin,P14923
ER lumen protein-retaining receptor 2,P33947
von Hippel-Lindau disease tumor suppressor/Receptor-interacting serine/threonine-protein kinase 1,Q13546|P40337
5'-3' exoribonuclease 2,Q9H0D6
Protein YIPF5,Q969M3
BRD2/BRD3,P25440|Q15059
Secretory carrier-associated membrane protein 3,O14828
E3 ubiquitin-protein ligase synoviolin,Q86TM6
Transgelin-2,P37802
Antigen peptide transporter 1,Q03518
Delta and Notch-like epidermal growth factor-related receptor,Q8NFT8
Peroxiredoxin-like 2A,Q9BRX8
Fanconi anemia group I protein,Q9NVI1
Cleavage and polyadenylation specificity factor subunit 1,Q10570
Protein kinase C iota type/zeta type,P41743|Q05513
Ubiquitin carboxyl-terminal hydrolase 12,O75317
Small ribosomal subunit protein uS13,P62269
Derlin-1,Q9BUN8
Protein cereblon/Bromodomain-containing protein 7,Q9NPI1|Q96SW2
Transcription factor NF-E2 45 kDa subunit,Q16621
Aurora kinase B/Receptor-type tyrosine-protein kinase,P36888|Q96GD4
Treacle protein,Q13428
USP12/WDR48/WDR20,Q8TAF3|Q8TBZ3|O75317
Cytochrome c oxidase subunit 5B, mitochondrial,P10606
Probable G-protein coupled receptor 25,O00155
TBC1 domain family member 5,Q92609
Probable G-protein coupled receptor 32,O75388
Propionyl-CoA carboxylase alpha chain, mitochondrial,P05165
Pyruvate dehydrogenase E1 component subunit alpha, somatic form, mitochondrial,P08559
Phosphorylase kinase beta subunit,Q93100
NRP2-VEGA,P15692|O60462
Vasodilator-stimulated phosphoprotein,P50552
COP9 signalosome complex subunit 8,Q99627
Large ribosomal subunit protein eL24,P83731
Retinoblastoma-binding protein 5,Q15291
Prothymosin alpha,P06454
Telomere-associated protein RIF1,Q5UIP0
F-actin-capping protein subunit alpha-2,P47755
von Hippel-Lindau disease tumor suppressor/Cyclin-dependent kinase 9,P50750|P40337
Rho GDP-dissociation inhibitor 2,P52566
von Hippel-Lindau disease tumor suppressor/Histone deacetylase 9,Q9UKV0|P40337
Eukaryotic translation initiation factor 3 subunit H,O15372
Protein cereblon/Peptidyl-prolyl cis-trans isomerase FKBP1A/Nuclear receptor subfamily 1 group I member 2,P62942|O75469|Q96SW2
WASH complex subunit 5,Q12768
Prostaglandin reductase 1,Q14914
Protein polybromo-1/von Hippel-Lindau disease tumor suppressor,Q86U86|P40337
Developmentally-regulated GTP-binding protein 1,Q9Y295
General vesicular transport factor p115,O60763
Neurosecretory protein VGF,O15240
Protein transport protein Sec24C,P53992
Spliceosome RNA helicase DDX39B,Q13838
Syndecan-1,P18827
ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 2,Q10588
Monocarboxylate transporter 2/3,O60669|O95907
GSK3B-interacting protein,Q9P0R6
E3 ubiquitin-protein ligase Itchy homolog,Q96J02
Katanin p60 ATPase-containing subunit A-like 2,Q8IYT4
Cerebellar degeneration-related protein 2,Q01850
Calcium load-activated calcium channel,Q9UM00
Transmembrane emp24 domain-containing protein 9,Q9BVK6
RNA-binding protein RO60,P10155
Protein LSM14 homolog A,Q8ND56
Histone H1.10,Q92522
Hematopoietic lineage cell-specific protein,P14317
Signal peptide peptidase-like 2B,Q8TCT7
Cilia- and flagella-associated protein 410,O43822
Sterol regulatory element-binding protein cleavage-activating protein,Q12770
La-related protein 1,Q6PKG0
Galectin-3-binding protein,Q08380
Endoplasmic reticulum junction formation protein lunapark,Q9C0E8
Inorganic pyrophosphatase,Q15181
Dihydropyrimidinase-related protein 3,Q14195
Band 4.1-like protein 2,O43491
Exocyst complex component 1,Q9NV70
Eukaryotic translation initiation factor 3 subunit M,Q7L2H7
DnaJ homolog subfamily C member 9,Q8WXX5
Microtubule-associated protein 4,P27816
Transcriptional repressor p66-beta,Q8WXI9
Pleckstrin homology domain-containing family A member 1,Q9HB21
Serine/arginine-rich splicing factor 9,Q13242
Metal cation symporter ZIP14,Q15043
Serrate RNA effector molecule homolog,Q9BXP5
ErbB-2/ErbB-3 heterodimer,P04626|P21860
Protransforming growth factor alpha,P01135
ATP-binding cassette sub-family F member 1,Q8NE71
Chloride intracellular channel protein 4,Q9Y696
Coatomer subunit alpha,P53621
Cold shock domain-containing protein E1,O75534
Gem-associated protein 4,P57678
Golgi apparatus protein 1,Q92896
DDB1- and CUL4-associated factor 15/Bromodomain-containing protein 7,Q9NPI1|Q66K64
Heterogeneous nuclear ribonucleoprotein U-like protein 2,Q1KMD3
AP-3 complex subunit sigma-1,Q92572
U2 small nuclear ribonucleoprotein B'',P08579
Double-stranded RNA-binding protein Staufen homolog 1,O95793
Heterogeneous nuclear ribonucleoprotein L-like,Q8WVV9
Transmembrane 9 superfamily member 3,Q9HD45
Protein transport protein Sec61 subunit beta,P60468
Septin-7,Q16181
Mitochondrial 2-oxoglutarate/malate carrier protein,Q02978
Small ribosomal subunit protein uS17,P62280
Small ribosomal subunit protein uS5,P15880
Small ribosomal subunit protein uS10,P60866
Ribosomal protein eS27-like,Q71UM5
rRNA 2'-O-methyltransferase fibrillarin,P22087
Palmitoyltransferase ZDHHC9,Q9Y397
Sorting nexin-3,O60493
Nucleosome assembly protein 1-like 1,P55209
Nuclear pore complex protein Nup160,Q12769
NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 4,Q9P032
E3 ubiquitin-protein ligase UBR2,Q8IWV8
RNA-binding protein 28,Q9NW13
Ferritin heavy chain,P02794
Metaxin-2,O75431
1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase zeta-1,Q86YW0
ORM1-like protein 3,Q8N138
Profilin-1,P07737
DNA polymerase epsilon subunit 3,Q9NRF9
Adhesion G protein-coupled receptor F5,Q8IZF2
Small ribosomal subunit protein RACK1,P63244
Ras-related protein Rab-5B,P61020
La-related protein 7,Q4G0J3
Enoyl-CoA hydratase, mitochondrial,P30084
Probable G-protein coupled receptor 156,Q8NFN8
Mortality factor 4-like protein 1,Q9UBU8
Heat shock 70 kDa protein 4L,O95757
Inner centromere protein,Q9NQS7
G-protein coupled receptor 171,O14626
Probable G-protein coupled receptor 19,Q15760
Adhesion G-protein coupled receptor G1,Q9Y653
Probable G-protein coupled receptor 85,P60893
Proteasome subunit alpha type-3,P25788
Ras-related protein Ral-B,P11234
Large ribosomal subunit protein eL36,Q9Y3U8
Ribosome-binding protein 1,Q9P2E9
Receptor-type tyrosine-protein phosphatase delta,P23468
Inositol hexakisphosphate and diphosphoinositol-pentakisphosphate kinase 2,O43314
Glucocerebrosidase GBA1/GBA2,P04062|Q9HCG7
Histone-binding protein RBBP7,Q16576
Lysine-specific demethylase 5D,Q9BY66
HDAC6-ISG15,Q9UBN7|P05161
Microtubule-actin cross-linking factor 1, isoforms 1/2/3/4/5,Q9UPN3
Ubiquitin-protein ligase E3C,Q15386
Vitamin K epoxide reductase complex subunit 1-like protein 1,Q8N0U8
Unconventional myosin-Ig,B0I1T2
Interleukin-1 receptor-associated kinase-like 2,O43187
Rho GTPase Rac1/CDC42,P60953|P63000
SH2 domain-containing protein 2A,Q9NP31
von Hippel-Lindau disease tumor suppressor/Histone-lysine N-methyltransferase EZH1,Q92800|P40337
Putative pre-mRNA-splicing factor ATP-dependent RNA helicase DHX32,Q7L7V1
Microtubule-associated protein 1 light chain 3 beta/Sequestosome-1,Q13501|Q9GZQ8
Protein cereblon/LIM domain-containing protein 1,Q96SW2|Q9UGP4
G-protein coupled receptor 26,Q8NDV2
PRMT5-Riok1,Q9BRS2|O14744
Glucose-induced degradation protein 4 homolog/Epidermal growth factor receptor,P00533|Q8IVV7
Mas-related G-protein coupled receptor member G,Q86SM5
Trace amine-associated receptor 8,Q969N4
Eukaryotic translation initiation factor 4 gamma 1,Q04637
Exocyst complex component 4,Q96A65
Adhesion G-protein coupled receptor G5,Q8IZF4
Membrane-associated guanylate kinase, WW and PDZ domain-containing protein 1,Q96QZ7
12-(S)-hydroxy-5,8,10,14-eicosatetraenoic acid receptor,O00270
E3 ubiquitin-protein ligase XIAP/Tyrosine-protein kinase BTK,P98170|Q06187
Mitochondrial pyruvate carrier 2,O95563
Palmitoyltransferase ZDHHC7,Q9NXF8
Opsin-3,Q9H1Y3
Dynein light chain 2, cytoplasmic,Q96FJ2
Matrix metalloproteinase 2/9,P08253|P14780
Nucleotide triphosphate diphosphatase NUDT15,Q9NV35
Macrophage scavenger receptor types I and II,P21757
Interleukin-33,O95760
RAS,P01112|P01111|P01116
Voltage-gated T-type calcium channel,O95180|O43497|Q9P0X4
Inducible T-cell costimulator,Q9Y6W8
IL6Ralpha/GP130,P08887|P40189
Ras-related protein Rab-1A,P62820
Ubiquitin carboxyl-terminal hydrolase 32,Q8NFA0
Apolipoprotein A-I,P02647
Lymphoid enhancer-binding factor 1,Q9UJU2
ROS1-SDC4,P08922|P31431
Growth/differentiation factor 2,Q9UK05
G-protein coupled receptor family C group 5 member D,Q9NZD1
Caspase,P49662|P55211|P42574|P51878|P55212|P55210|Q14790|P29466|P42575|Q92851|P31944|Q6UXS9
Transcription factor MafG,O15525
METTL5-TRM112,Q9UI30|Q9NRN9
Small ribosomal subunit protein uS14,P62273
Fibroblast growth factor 4,P08620
Small ribosomal subunit protein eS7,P62081
Annexin A6,P08133
Protein LYRIC,Q86UE4
Tubulin alpha-1A chain,Q71U36
YTH domain-containing family protein 3,Q7Z739
Glutamate receptor AMPA 3/4,P48058|P42263
Translin,Q15631
SWI/SNF complex subunit SMARCC2,Q8TAQ2
Protein patched homolog 1,Q13635
Cancer-related nucleoside-triphosphatase,Q9BSD7
Fas-activated serine/threonine kinase,Q14296
Protein fem-1 homolog B/Histone deacetylase 8,Q9BY41|Q9UK73
Protein fem-1 homolog B/Histone deacetylase 3,O15379|Q9UK73
von Hippel-Lindau disease tumor suppressor/Stimulator of interferon genes protein,P40337|Q86WV6
Protein cereblon/Basigin,P35613|Q96SW2
U4/U6 small nuclear ribonucleoprotein Prp4,O43172
von Hippel-Lindau disease tumor suppressor/Heat shock protein HSP 90-alpha/Heat shock protein HSP 90-beta,P07900|P08238|P40337
Kelch-like protein 26,Q53HC5
Serine protease 27,Q9BQR3
Plasma alpha-L-fucosidase,Q9BTY2
P-selectin/P-selectin glycoprotein ligand 1,Q14242|P16109
Nuclear receptor corepressor 2,Q9Y618
Adhesion G protein-coupled receptor E5,P48960
Ras-related C3 botulinum toxin substrate 2,P15153
Serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit C,Q8NB46
TBC1 domain family member 15,Q8TC07
Interleukin enhancer-binding factor 2,Q12905
B-cell CLL/lymphoma 6 member B protein,Q8N143
Calmegin,O14967
Small ribosomal subunit protein mS23,Q9Y3D9
Nuclear mitotic apparatus protein 1,Q14980
Protein SET,Q01105
G-protein coupled receptor 135,Q8IZ08
Mitochondrial 2-oxodicarboxylate carrier,Q9BQT8
Aryl-hydrocarbon-interacting protein-like 1,Q9NZN9
Palmitoyl-protein thioesterase ABHD10, mitochondrial,Q9NUJ1
Paired mesoderm homeobox protein 1,P54821
Erlin-2,O94905
Triple functional domain protein,O75962
Calnexin,P27824
G protein-activated inward rectifier potassium channel 1,P48549
Serum paraoxonase/arylesterase 2,Q15165
Gamma-tubulin complex component 2,Q9BSJ2
Small ribosomal subunit protein eS10,P46783
Actin-related protein 2/3 complex subunit 4,P59998
Glutamine amidotransferase-like class 1 domain-containing protein 3, mitochondrial,P0DPI2
116 kDa U5 small nuclear ribonucleoprotein component,Q15029
Bone morphogenetic protein 6,P22004
Proliferation marker protein Ki-67,P46013
Prefoldin subunit 2,Q9UHV9
28S rRNA (cytosine-C(5))-methyltransferase,Q96P11
Signal recognition particle 9 kDa protein,P49458
Small nuclear ribonucleoprotein Sm D2,P62316
Ubiquitin carboxyl-terminal hydrolase 51,Q70EK9
Complement component C9,P02748
Serine/threonine-protein phosphatase 6 regulatory subunit 3,Q5H9R7
Coxsackievirus and adenovirus receptor,P78310
Moesin,P26038
Small ribosomal subunit protein eS19,P39019
Gem-associated protein 5,Q8TEQ6
KH domain-containing, RNA-binding, signal transduction-associated protein 1,Q07666
DNA mismatch repair protein Msh2,P43246
Heterogeneous nuclear ribonucleoprotein L,P14866
UDP-glucose:glycoprotein glucosyltransferase 1,Q9NYU2
von Hippel-Lindau disease tumor suppressor/3-hydroxy-3-methylglutaryl-coenzyme A reductase,P04035|P40337
General transcription factor II-I,P78347
F-box only protein 11,Q86XK2
Nucleolar and coiled-body phosphoprotein 1,Q14978
Eukaryotic translation elongation factor 1 epsilon-1,O43324
Mas-related G-protein coupled receptor member X3,Q96LB0
Phospholysine phosphohistidine inorganic pyrophosphate phosphatase,Q9H008
Peptidyl-prolyl cis-trans isomerase C,P45877
Pyruvate dehydrogenase E1 component subunit beta, mitochondrial,P11177
T-complex protein 1 subunit theta,P50990
Erythropoietin,P01588
Glycoprotein-N-acetylgalactosamine 3-beta-galactosyltransferase 1,Q9NS00
CCR4-NOT transcription complex subunit 6-like,Q96LI5
E3 ubiquitin-protein ligase HUWE1,Q7Z6Z7
Angiomotin,Q4VCS5
MICOS complex subunit MIC25,Q9BRQ6
Gamma-aminobutyric acid receptor subunit alpha-6/beta-3,P28472|Q16445
CDC42 small effector protein 1,Q9NRR8
E3 ubiquitin-protein ligase UBR4,Q5T4S7
Probable G-protein coupled receptor 160,Q9UJ42
Protein fem-1 homolog B/Protein deacetylase HDAC6,Q9UBN7|Q9UK73
Beta-1,3-galactosyl-O-glycosyl-glycoprotein beta-1,6-N-acetylglucosaminyltransferase,Q02742
Protein cereblon/WD repeat-containing protein 5,P61964|Q96SW2
Protein fem-1 homolog B/Histone deacetylase 4,P56524|Q9UK73
Large ribosomal subunit protein eL22,P35268
Small ribosomal subunit protein uS9,P62249
Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A alpha isoform,P30153
Microsomal glutathione S-transferase 2,Q99735
Small ribosomal subunit protein uS7m,Q9Y2R9
Proteasome adapter and scaffold protein ECM29,Q5VYK3
Heterogeneous nuclear ribonucleoprotein D0,Q14103
Tubulin alpha-4A chain,P68366
Prolactin receptor,P16471
T-complex protein 1 subunit eta,Q99832
PCNA-associated factor,Q15004
DNA damage-binding protein 1/Protein cereblon/E3 ubiquitin-protein ligase Mdm2,Q00987|Q96SW2|Q16531
von Hippel-Lindau disease tumor suppressor/Nuclear receptor coactivator 4,P40337|Q13772
BCL2L10/BID,Q9HD36|P55957
Phosphoinositide 3-kinase regulatory subunit 4,Q99570
Protein diaphanous homolog 1,O60610
Baculoviral IAP repeat-containing protein 3/Huntingtin,Q13489|P42858
Sister chromatid cohesion protein PDS5 homolog A,Q29RF7
Small ribosomal subunit protein eS4, X isoform,P62701
Small ribosomal subunit protein uS7,P46782
Phosphoribosyl pyrophosphate synthase-associated protein 2,O60256
Transmembrane protein 33,P57088
Gamma-aminobutyric acid receptor subunit alpha-5/beta-2,P47870|P31644
Fructosamine-3-kinase,Q9H479
Toll-like receptor 6,Q9Y2C9
Protein fem-1 homolog B/Histone deacetylase 2,Q92769|Q9UK73
Baculoviral IAP repeat-containing protein 2/Phospholipid hydroperoxide glutathione peroxidase GPX4,Q13490|P36969
ATP-dependent DNA/RNA helicase DHX36,Q9H2U1
Extended synaptotagmin-1,Q9BSJ8
HLA class II histocompatibility antigen, DQ alpha 1 chain,P01909
Beta-1,3-galactosyltransferase 1,Q9Y5Z6
Sterol carrier protein 2,P22307
Potassium/sodium hyperpolarization-activated cyclic nucleotide-gated channel 3,Q9P1Z3
Cyclin-dependent kinase 4/cyclin D2,P11802|P30279
Mitochondrial import receptor subunit TOM40 homolog,O96008
Taste receptor type 1 member 2,Q8TE23
FAD synthase,Q8NFF5
Solute carrier family 13 member 2,Q13183
Cadherin-2,P19022
Nuclear receptor subfamily 6 group A member 1,Q15406
TANK-binding kinase 1-binding protein 1,A7MCY6
E3 ubiquitin-protein ligase XIAP/Bromodomain-containing protein 4,P98170|O60885
Mesoderm-specific transcript homolog protein,Q5EB52
P2X purinoceptor 6,O15547
