Target,Accessions
Glucose-induced degradation protein 4 homolog/ALK tyrosine kinase receptor,Q9UM73|Q8IVV7
Dol-P-Man:Man(5)GlcNAc(2)-PP-Dol alpha-1,3-mannosyltransferase,Q92685
Actin-related protein 2/3 complex subunit 5-like protein,Q9BPX5
Ribosome maturation protein SBDS,Q9Y3A5
Zinc transporter ZIP11,Q8N1S5
FAST kinase domain-containing protein 4,Q969Z0
Rho-associated protein kinase 2/Transforming protein RhoA,O75116|P61586
Antithrombin,Q15950
Catenin delta-1,O60716
Protein cereblon/Protein PRRC2B,Q96SW2|Q5JSZ5
Baculoviral IAP repeat-containing protein 2/Prostaglandin E synthase,Q13490|O14684
Protein Niban 2,Q96TA1
Dopamine receptor D2L/neurotensin receptor NTS1,P14416|P30989
Protein prenyltransferase alpha subunit repeat-containing protein 1,Q7Z6K3
Protein BRICK1,Q8WUW1
Ras suppressor protein 1,Q15404
Kinesin-like protein KIF2A,O00139
NADH dehydrogenase [ubiquinone] flavoprotein 2, mitochondrial,P19404
JAK1/STAT1,P23458|P42224
Ecto-NOX disulfide-thiol exchanger 2,Q16206
von Hippel-Lindau disease tumor suppressor/Mitogen-activated protein kinase kinase kinase 10,Q02779|P40337
E3 UFM1-protein ligase 1,O94874
Membrane-bound glycerophospholipid O-acyltransferase 1,Q6ZNC8
von Hippel-Lindau disease tumor suppressor/Serine/threonine-protein kinase DCLK1,O15075|P40337
N-acetyl-D-glucosamine kinase,Q9UJ70
ABC-type oligopeptide transporter ABCB9,Q9NP78
G protein-regulated inducer of neurite outgrowth 1,Q7Z2K8
STING ER exit protein,Q9H5V9
CD59 glycoprotein,P13987
Retinoid-inducible serine carboxypeptidase,Q9HB40
Oxidized low-density lipoprotein receptor 1,P78380
Dynamin-binding protein,Q6XZF7
Protein cereblon/Cold shock domain-containing protein E1,Q96SW2|O75534
von Hippel-Lindau disease tumor suppressor/Myc proto-oncogene protein,P01106|P40337
Integrin alpha-10/Integrin beta-1,P05556|O75578
Speckle-type POZ protein/PTEN,P60484|O43791
Protein cereblon/D-dopachrome decarboxylase,Q96SW2|P30046
Protein cereblon/Histone-lysine N-methyltransferase, H3 lysine-36 specific,Q96L73|Q96SW2
Ribosomal biogenesis protein LAS1L,Q9Y4W2
Chromosome alignment-maintaining phosphoprotein 1,Q96JM3
Msx2-interacting protein,Q96T58
Integrator complex subunit 8,Q75QN2
Zinc finger protein 618,Q5T7W0
Microspherule protein 1,Q96EZ8
Centrosome and spindle pole-associated protein 1,Q1MSJ5
Hydroxyacid-oxoacid transhydrogenase, mitochondrial,Q8IWW8
Small proline-rich protein 3,Q9UBC9
Protein cereblon/NAD-dependent protein deacetylase sirtuin-7,Q9NRC8|Q96SW2
Sequestosome-1/Estrogen receptor beta,Q92731|Q13501
Polypeptide N-acetylgalactosaminyltransferase 13,Q8IUC8
Orexigenic neuropeptide QRFP,P83859
Putative methyltransferase C9orf114,Q5T280
GABA-A receptor; benzodiazepine site,P14867|P18507|P48169|Q99928|P34903|Q8N1C3|P47869|P31644|Q16445
Myotrophin,P58546
PR domain zinc finger protein 12,Q9H4Q4
Sec1 family domain-containing protein 1,Q8WVM8
AP-1 complex subunit beta-1,Q10567
Protein cereblon/Platelet-derived growth factor receptor beta,P09619|Q96SW2
Baculoviral IAP repeat-containing protein 2/Aldo-keto reductase family 1 member B1,P15121|Q13490
von Hippel-Lindau disease tumor suppressor/L-lactate dehydrogenase B chain,P07195|P40337
Galanin receptor,O60755|O43603|P47211
von Hippel-Lindau disease tumor suppressor/Histone deacetylase 2/Lysine-specific histone demethylase 1A/REST corepressor 1,Q92769|O60341|P40337|Q9UKL0
von Hippel-Lindau disease tumor suppressor/Importin subunit alpha-1,P52292|P40337
A-kinase anchor protein 13/Transforming protein RhoA,P61586|Q12802
AP-3 complex subunit mu-1,Q9Y2T2
Transcription factor HIVEP2,P31629
Stromal interaction molecule 1/Protein orai-3,Q9BRQ5|Q13586
Protein cereblon/Mitogen-activated protein kinase 3/Mitogen-activated protein kinase 1,P27361|P28482|Q96SW2
Protein S100-A5,P33763
Protein cereblon/Nuclear receptor coactivator 1,Q15788|Q96SW2
Protein cereblon/MAP kinase-interacting serine/threonine-protein kinase 2,Q9HBH9|Q96SW2
Protein-lysine N-trimethyltransferase SMYD5,Q6GMV2
Mannose-P-dolichol utilization defect 1 protein,O75352
Speckle-type POZ protein-Bromodomain-containing protein 2,P25440|O43791
Protein cereblon/GTPase HRas,P01112|Q96SW2
von Hippel-Lindau disease tumor suppressor/Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit gamma isoform,P48736|P40337
Phosphorylated adapter RNA export protein,Q9H814
Rab-like protein 6,Q3YEC7
3-ketoacyl-CoA thiolase, mitochondrial,P42765
Protein SAAL1,Q96ER3
ATPase family gene 2 protein homolog B,Q9BVQ7
Calpain small subunit 1,P04632
Chromodomain-helicase-DNA-binding protein 3,Q12873
Methylosome subunit pICln,P54105
2',3'-cyclic-nucleotide 3'-phosphodiesterase,P09543
Protein FAM83A,Q86UY5
Tubulin-folding cofactor B,Q99426
Endonuclease domain-containing 1 protein,O94919
Conserved oligomeric Golgi complex subunit 2,Q14746
A-kinase anchor protein 8-like,Q9ULX6
Protein cereblon/Histone-lysine N-methyltransferase EHMT1,Q9H9B1|Q96SW2
Ensconsin,Q14244
Methionine adenosyltransferase 2 subunit beta,Q9NZL9
ER membrane protein complex subunit 5,Q8N4V1
UBX domain-containing protein 11,Q5T124
Peroxisome biogenesis factor 2,P28328
CUGBP Elav-like family member 2,O95319
Meiosis-specific nuclear structural protein 1,Q8NEH6
Small ribosomal subunit protein mS22,P82650
Alpha-aminoadipic semialdehyde dehydrogenase,P49419
Store-operated calcium entry-associated regulatory factor,Q96BY9
Nascent polypeptide-associated complex subunit alpha,Q13765
Serpin B6,P35237
Condensin complex subunit 2,Q15003
NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 2,Q8N183
Aquaporin-9,O43315
Tafazzin,Q16635
BRCA2 and CDKN1A-interacting protein,Q9P287
Microtubule-associated protein 1 light chain 3 beta/Histone-lysine N-methyltransferase EZH1,Q92800|Q9GZQ8
Microtubule-associated protein 1 light chain 3 beta/Cyclin-dependent kinase 9,P50750|Q9GZQ8
GEL complex subunit OPTI,Q9BUV8
Calcium-regulated heat-stable protein 1,Q9Y2V2
Haloacid dehalogenase-like hydrolase domain-containing 5,Q9BXW7
