UniProt,Compounds
Q9UM73|Q07866,1
Q9UM73|Q8IVV7,1
Q9UMR5,1
Q9UNE0,1
Q9UPW5,1
Q9Y210|Q13507,1
Q9Y243|Q96SW2,1
Q9Y2R2|Q96SW2,1
Q9Y2U9,1
Q9Y303,1
Q9Y305,1
Q9Y3A2,1
Q9Y3D0,1
Q9Y3D2,1
Q9Y496,1
Q9Y5K6,1
A1L0T0,1
A1L390,1
A4D1E9,1
A8MW92,1
B1AH88,1
O00154,1
O00155,2
O00233,1
O00270,2
O00330,1
O00338,2
O00425,1
O00461,1
O00562,2
O00629,1
O14545,1
O14561,1
O14617,1
O14626,2
O14681,1
O14733|Q96SW2,1
O14737,1
O14920|O15111,2
O14979,1
O15084,2
O15127,1
O15173,1
O15212,1
O15347,1
O15446,1
O43187,2
O43237,1
O43252,1
O43291,1
O43399,1
O43488,1
O43493,1
O43561,1
O43674,1
O43681,1
O43795,1
O43808,1
O43813,1
O43819,1
O43837,1
O60232,2
O60264,1
O60462,2
O60645,1
O60669|O95907,2
O60675|O14867,2
O60701,1
O60711,1
O60716,1
O60749,1
O60779,1
O60885|Q14145,1
O60888,1
O60925,1
O60931,2
O60934,1
O75143,1
O75165,1
O75170,2
O75190,1
O75223,1
O75317,2
O75347,1
O75352,1
O75380,1
O75388,2
O75436,1
O75473,2
O75592,1
O75608|O95372,2
O75616,1
O75663,1
O75845,2
O75909|Q96SW2,2
O75935,1
O75956,2
O76003,1
O76031,2
O76062,2
O76074|P51160,2
O94804|Q9H2G2,1
O94830,1
O94874,1
O94886,1
O94919,1
O94973,1
O95136|Q99500,2
O95139,1
O95163,1
O95169,1
O95180|O43497|Q9P0X4,2
O95202,1
O95292,1
O95299,1
O95319,1
O95396,1
O95400,1
O95563,2
O95628,2
O95674,1
O95721,1
O95758,1
O95760,2
O95800,2
O95861,1
O96005,1
O96020|Q00526,2
P00414,1
P00533|Q12866,2
P00533|Q13490,1
P01011,2
P01023,2
P01106|P40337,1
P01106|Q96SW2,1
P01589,1
P01889,1
P02008,1
P02647,2
P02708|P07510|P11230|P17787|P30926|P32297|P43681|Q07001|Q15822|Q9UGM1|Q15825|P30532|Q04844|P36544|Q9GZZ6|Q05901,2
P02765,1
P03886,1
P03928,1
P03950,2
P04049|P15056,2
P04049|P15056|P10398,2
P04085,2
P04626|P49327,1
P04632,1
P05107,1
P05112,1
P06493|P40337,2
P07108,1
P07197,1
P07949|O95684,1
P07954,1
P08100,2
P08174,2
P08237,2
P08253|P14780,2
P08833,2
P09327,1
P09493,2
P09497,1
P09543,1
P0CG29,2
P10153,2
P10588,2
P10636|Q13618,2
P11171,1
P11234,2
P11279,1
P12074,1
P12277,2
P12532,1
P12814,1
P12829,1
P12931|P0DP23,2
P12931|Q96SW2,2
P13073,1
P13498,1
P13591,1
P13693,1
P13804,1
P14314,1
P14635|Q96SW2,2
P14854,1
P15692|P35968,2
P16402,1
P16422,1
P16930,1
P17535,1
P17568,1
P17677,1
P17787,2
P17787|P32297|P30532,2
P18065,2
P18085,1
P18507|P18505|P47869,2
P18564,1
P19388,1
P19404,1
P19447,2
P19823,1
P20290,1
P20618|P28074,1
P20962,1
P21266,2
P21730|Q9P296,2
P21757,2
P22692,2
P23193,1
P23443|P31749,1
P23468,2
P24592,2
P24863,1
P25054|Q9NR80,2
P25325,1
P25440|Q15059,2
P25787,1
P25815,1
P26885,2
P27105,1
P27361|P28482|Q96SW2,1
P27449,1
P27986|P48736,2
P28370,1
P28472|P34903,2
P28472|Q99928|P34903,1
P28482|P04049|Q02750,2
P29084,1
P29218,1
P29317|P20827,2
P29803,1
P29966,1
P30040,1
P30542|Q96SW2,1
P30566,1
P30626,1
P30740,1
P31150,1
P31483,1
P31751|Q96SW2,2
P31937,1
P33552,1
P33908,2
P34741,1
P34810,1
P34913|P40337,2
P35237,1
P35241,1
P35244,1
P35410,2
P35499|O60939|Q07699,1
P35613,1
P36543,1
P36888|Q96GD4,2
P36957,1
P38936|P31749,1
P40121,1
P40189|P42702,2
P40222,1
P40337|O75531,1
P40337|P41182,1
P40337|Q5VVY1,1
P40337|Q8IWT3,1
P40337|Q96PV6,1
P40337|Q9GZV5,1
P40337|Q9NZQ7,2
P40337|Q9UKT9,2
P40429,1
P41743|Q05513,2
P42167,1
P42566,2
P42694,1
P42701,1
P42765,1
P42771,2
P46379,1
P46531|Q9UM47|Q04721|Q99466,2
P46926,1
P46934,2
P48023,2
P48059,1
P48146,2
P48634,1
P48637,1
P49207,1
P49257,1
P49419,1
P49593,1
P49662|P55211|P42574|P51878|P55212|P55210|Q14790|P29466|P42575|Q92851|P31944|Q6UXS9,2
P49770,1
P49792,1
P49821,1
P50750|P40337,2
P51124,2
P51575|Q99571|Q9UBL9|O15547|P56373|Q99572|Q93086,2
P51809,1
P51857,1
P51955|O14777,1
P52298,1
P52429,2
P52434,1
P52788,2
P53365,1
P53985|O15427,2
P54105,1
P54278,1
P54289|Q00975|P54284,1
P54709,1
P54920,1
P55081,1
P55735,1
P55795,1
P56589,1
P58546,1
P60059,1
P60520,2
P60893,2
P60903,1
P60953|P63000,2
P61009,1
P61019,1
P61024,1
P61513,1
P61764,1
P61769,1
P61960,1
P61966,1
P62068,2
P62072,1
P62263,1
P62306,1
P62314,1
P62328,1
P62495,1
P62633,1
P62873,1
P62875,1
P63313,1
P69891,1
P69892,1
P78330,1
P78344,1
P78380,1
P78382,1
P78406,1
P80303,1
P82650,1
P82673,1
P82930,1
P82933,1
P82979,1
P84098,1
P85037,1
P98160,1
P98170|Q06187,2
P98194,1
Q00535|P40337,2
Q01518,1
Q01543,1
Q01974|P40337,1
Q02878,1
Q03113,1
Q03701,1
Q04941,1
Q05086,1
Q05329,2
